year,port,mode,species,month,month_name,estimate_type,estimate,source,source_last_refreshed
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,354,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,5152,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,37,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,June,Harvest,84,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,1974,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,June,Harvest,95,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,July,Harvest,150,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,July,Harvest,15,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,7,July,Harvest,10,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,11724,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,July,Harvest,177,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,794,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,August,Harvest,352,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,12586,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,August,Harvest,138,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,61,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,40,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,6168,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,October,Harvest,10,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,October,Harvest,38,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,4451,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,109,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,11,November,Harvest,58,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
