city_id,species_id,month,month_name,monthly_seasonal_ceiling,long_surveyed_years,long_hours,long_cpue_per_1000h,long_positive_year_share,modern_surveyed_years,modern_hours,modern_cpue_per_1000h,modern_positive_year_share,recent_surveyed_years,recent_hours,recent_cpue_per_1000h,recent_positive_year_share,evidence_guide_score,aggregate_support
ludington_mi,chinook_salmon,4,April,1.55,25,26407,0.568,0.040,10,6840,0.000,0.000,4,1553,0.000,0.000,1.26,supported_or_below_good
ludington_mi,chinook_salmon,5,May,3.47,25,8578,8.160,0.160,10,2293,18.753,0.200,4,753,0.000,0.000,4.67,supported_or_below_good
ludington_mi,chinook_salmon,6,June,4.18,25,14784,10.349,0.120,9,4058,17.989,0.111,3,792,0.000,0.000,4.60,supported_or_below_good
ludington_mi,chinook_salmon,7,July,3.17,26,37767,9.982,0.115,10,13295,5.265,0.100,4,3463,0.000,0.000,3.72,supported_or_below_good
ludington_mi,chinook_salmon,8,August,6.13,26,50500,61.505,0.615,10,13188,19.639,0.500,4,3653,19.436,0.500,6.54,supported_or_below_good
ludington_mi,chinook_salmon,9,September,6.11,26,40405,57.567,0.615,10,13213,28.684,0.600,4,2463,0.000,0.000,6.81,supported_or_below_good
ludington_mi,chinook_salmon,10,October,2.06,26,43933,1.024,0.154,10,12000,0.000,0.000,4,2210,0.000,0.000,1.44,supported_or_below_good
ludington_mi,coho_salmon,4,April,2.76,25,26407,0.000,0.000,10,6840,0.000,0.000,4,1553,0.000,0.000,1.00,supported_or_below_good
ludington_mi,coho_salmon,5,May,2.37,25,8578,0.466,0.040,10,2293,1.744,0.100,4,753,5.312,0.250,2.03,supported_or_below_good
ludington_mi,coho_salmon,6,June,1.81,25,14784,0.000,0.000,9,4058,0.000,0.000,3,792,0.000,0.000,1.00,supported_or_below_good
ludington_mi,coho_salmon,7,July,1.87,26,37767,1.456,0.077,10,13295,2.031,0.100,4,3463,0.000,0.000,2.33,supported_or_below_good
ludington_mi,coho_salmon,8,August,2.72,26,50500,1.881,0.154,10,13188,0.000,0.000,4,3653,0.000,0.000,1.71,supported_or_below_good
ludington_mi,coho_salmon,9,September,4.33,26,40405,7.400,0.500,10,13213,5.752,0.400,4,2463,4.060,0.250,3.95,supported_or_below_good
ludington_mi,coho_salmon,10,October,5.35,26,43933,4.370,0.346,10,12000,11.333,0.300,4,2210,0.000,0.000,4.18,supported_or_below_good
ludington_mi,steelhead,4,April,5.12,25,26407,12.232,0.560,10,6840,19.444,0.500,4,1553,12.878,0.250,5.35,supported_or_below_good
ludington_mi,steelhead,5,May,3.23,25,8578,0.816,0.040,10,2293,3.053,0.100,4,753,0.000,0.000,2.47,supported_or_below_good
ludington_mi,steelhead,6,June,2.75,25,14784,3.788,0.080,9,4058,3.943,0.111,3,792,0.000,0.000,3.05,supported_or_below_good
ludington_mi,steelhead,7,July,2.14,26,37767,0.477,0.038,10,13295,1.354,0.100,4,3463,0.000,0.000,1.89,supported_or_below_good
ludington_mi,steelhead,8,August,1.78,26,50500,0.000,0.000,10,13188,0.000,0.000,4,3653,0.000,0.000,1.00,supported_or_below_good
ludington_mi,steelhead,9,September,3.03,26,40405,0.544,0.077,10,13213,0.833,0.100,4,2463,0.000,0.000,1.70,supported_or_below_good
ludington_mi,steelhead,10,October,6.85,26,43933,87.838,0.769,10,12000,42.750,0.500,4,2210,20.362,0.250,7.45,supported_or_below_good
ludington_mi,brown_trout,4,April,7.34,25,26407,50.631,0.720,10,6840,62.865,0.600,4,1553,25.113,0.500,7.46,supported_or_below_good
ludington_mi,brown_trout,5,May,5.84,25,8578,27.396,0.400,10,2293,26.603,0.500,4,753,6.640,0.500,5.94,supported_or_below_good
ludington_mi,brown_trout,6,June,3.78,25,14784,5.614,0.120,9,4058,19.221,0.222,3,792,0.000,0.000,4.60,supported_or_below_good
