pairKey,cityId,cityName,speciesId,speciesName,evidenceGrade,peakFisheryStrength,idealPeakDate,peakMode,excellentDaysAtIdealT,goodDaysAtIdealT,shoulderDaysAtIdealT,floorDaysAtIdealT,closedDays,decemberJanuarySeamDelta
"chicago_il/chinook_salmon","chicago_il","Chicago, Illinois","chinook_salmon","Chinook salmon","B","7","2027-09-05","fall_harbor_staging","0","1","84","234","0","0"
"chicago_il/coho_salmon","chicago_il","Chicago, Illinois","coho_salmon","Coho salmon","B","8.2","2027-04-20","spring_nearshore","6","32","152","125","0","0"
"chicago_il/steelhead","chicago_il","Chicago, Illinois","steelhead","Steelhead","B","6.5","2027-04-15","winter_spring_pier","0","0","257","79","0","0"
"chicago_il/brown_trout","chicago_il","Chicago, Illinois","brown_trout","Brown trout","B","6.2","2027-04-10","winter_spring_nearshore","0","0","233","98","0","0"
"chicago_il/lake_trout","chicago_il","Chicago, Illinois","lake_trout","Lake trout","B","5.4","2027-02-15","winter_nearshore","0","0","149","181","0","0"
"chicago_il/smallmouth_bass","chicago_il","Chicago, Illinois","smallmouth_bass","Smallmouth bass","B","6.5","2027-07-20","warm_season_harbor","0","0","157","172","0","0"
"chicago_il/freshwater_drum","chicago_il","Chicago, Illinois","freshwater_drum","Freshwater drum","B","5.6","2027-07-15","warm_season_harbor","0","0","115","216","0","0"
"chicago_il/yellow_perch","chicago_il","Chicago, Illinois","yellow_perch","Yellow perch","A","8.4","2027-02-01","winter_navy_pier_schooling","14","84","151","43","46","0"
"chicago_il/northern_pike","chicago_il","Chicago, Illinois","northern_pike","Northern pike","B","4.7","2027-05-01","spring_harbor","0","0","175","35","0","0"
"michigan_city_in/chinook_salmon","michigan_city_in","Michigan City, Indiana","chinook_salmon","Chinook salmon","B","7.4","2027-09-05","fall_harbor_staging","0","8","83","230","0","0"
"michigan_city_in/coho_salmon","michigan_city_in","Michigan City, Indiana","coho_salmon","Coho salmon","B","8.7","2027-04-20","spring_nearshore","18","42","150","121","0","0"
"michigan_city_in/steelhead","michigan_city_in","Michigan City, Indiana","steelhead","Steelhead","B","8.5","2027-07-15","summer_skamania_pier","8","78","238","7","0","0"
"michigan_city_in/brown_trout","michigan_city_in","Michigan City, Indiana","brown_trout","Brown trout","B","6","2027-04-10","winter_spring_nearshore","0","0","229","99","0","0"
"michigan_city_in/smallmouth_bass","michigan_city_in","Michigan City, Indiana","smallmouth_bass","Smallmouth bass","B","5.7","2027-07-20","warm_season_harbor","0","0","147","180","0","0"
"michigan_city_in/yellow_perch","michigan_city_in","Michigan City, Indiana","yellow_perch","Yellow perch","B","6.2","2027-07-20","summer_pier_schooling","0","0","94","247","0","0"
"michigan_city_in/largemouth_bass","michigan_city_in","Michigan City, Indiana","largemouth_bass","Largemouth bass","B","5.5","2027-08-15","warm_season_harbor","0","0","116","213","0","0"
"michigan_city_in/bluegill","michigan_city_in","Michigan City, Indiana","bluegill","Bluegill","B","5.2","2027-08-15","warm_season_harbor","0","0","100","227","0","0"
"muskegon_mi/chinook_salmon","muskegon_mi","Muskegon, Michigan","chinook_salmon","Chinook salmon","A","6.5","2027-09-05","fall_harbor_staging","0","0","77","239","0","0"
"muskegon_mi/coho_salmon","muskegon_mi","Muskegon, Michigan","coho_salmon","Coho salmon","A","6.4","2027-04-15","spring_nearshore","0","0","137","177","0","0"
"muskegon_mi/steelhead","muskegon_mi","Muskegon, Michigan","steelhead","Steelhead","A","8","2027-04-15","winter_spring_pier","1","46","223","73","0","0"
"muskegon_mi/brown_trout","muskegon_mi","Muskegon, Michigan","brown_trout","Brown trout","A","7","2027-04-10","winter_spring_nearshore","0","1","240","89","0","0"
"muskegon_mi/walleye","muskegon_mi","Muskegon, Michigan","walleye","Walleye","A","6.4","2027-05-15","spring_low_light","0","0","129","123","0","0"
"muskegon_mi/smallmouth_bass","muskegon_mi","Muskegon, Michigan","smallmouth_bass","Smallmouth bass","A","6.6","2027-07-20","warm_season_harbor","0","0","158","171","0","0"
"muskegon_mi/freshwater_drum","muskegon_mi","Muskegon, Michigan","freshwater_drum","Freshwater drum","A","6.2","2027-07-15","warm_season_harbor","0","0","122","212","0","0"
"muskegon_mi/yellow_perch","muskegon_mi","Muskegon, Michigan","yellow_perch","Yellow perch","A","5.2","2027-04-20","spring_channel_schooling","0","0","135","164","0","0"
"muskegon_mi/lake_whitefish","muskegon_mi","Muskegon, Michigan","lake_whitefish","Lake whitefish","B","4","2027-11-15","late_fall_channel","0","0","32","302","0","0"
"muskegon_mi/channel_catfish","muskegon_mi","Muskegon, Michigan","channel_catfish","Channel catfish","A","6","2027-08-20","warm_season_channel","0","0","131","196","0","0"
"muskegon_mi/largemouth_bass","muskegon_mi","Muskegon, Michigan","largemouth_bass","Largemouth bass","A","6.5","2027-08-15","warm_season_harbor","0","0","129","204","0","0"
"muskegon_mi/northern_pike","muskegon_mi","Muskegon, Michigan","northern_pike","Northern pike","A","4.8","2027-05-01","spring_harbor","0","0","183","31","0","0"
"muskegon_mi/white_perch","muskegon_mi","Muskegon, Michigan","white_perch","White perch","A","5.7","2027-08-20","warm_season_schooling","0","0","127","201","0","0"
"muskegon_mi/bluegill","muskegon_mi","Muskegon, Michigan","bluegill","Bluegill","A","6","2027-08-15","warm_season_harbor","0","0","111","220","0","0"
"whitehall_mi/chinook_salmon","whitehall_mi","Whitehall, Michigan","chinook_salmon","Chinook salmon","A","9.3","2027-09-05","fall_harbor_staging","19","30","80","218","0","0"
"whitehall_mi/coho_salmon","whitehall_mi","Whitehall, Michigan","coho_salmon","Coho salmon","A","7.4","2027-10-05","fall_harbor_return","0","6","125","186","0","0"
"whitehall_mi/steelhead","whitehall_mi","Whitehall, Michigan","steelhead","Steelhead","A","8.7","2027-04-15","winter_spring_pier","26","75","198","71","0","0"
"whitehall_mi/brown_trout","whitehall_mi","Whitehall, Michigan","brown_trout","Brown trout","A","7.7","2027-04-10","winter_spring_nearshore","0","23","224","81","0","0"
"whitehall_mi/walleye","whitehall_mi","Whitehall, Michigan","walleye","Walleye","A","5.8","2027-08-15","summer_low_light","0","0","134","173","0","0"
"whitehall_mi/smallmouth_bass","whitehall_mi","Whitehall, Michigan","smallmouth_bass","Smallmouth bass","A","6.3","2027-07-20","warm_season_harbor","0","0","155","174","0","0"
"whitehall_mi/freshwater_drum","whitehall_mi","Whitehall, Michigan","freshwater_drum","Freshwater drum","A","5.6","2027-07-15","warm_season_harbor","0","0","115","216","0","0"
"whitehall_mi/yellow_perch","whitehall_mi","Whitehall, Michigan","yellow_perch","Yellow perch","A","8","2027-07-20","summer_channel_schooling","1","31","84","223","0","0"
"whitehall_mi/lake_whitefish","whitehall_mi","Whitehall, Michigan","lake_whitefish","Lake whitefish","B","4","2027-11-15","late_fall_channel","0","0","32","302","0","0"
"whitehall_mi/channel_catfish","whitehall_mi","Whitehall, Michigan","channel_catfish","Channel catfish","A","5","2027-08-20","warm_season_channel","0","0","113","206","0","0"
"whitehall_mi/largemouth_bass","whitehall_mi","Whitehall, Michigan","largemouth_bass","Largemouth bass","A","7.1","2027-08-15","warm_season_harbor","0","4","131","200","0","0"
"whitehall_mi/northern_pike","whitehall_mi","Whitehall, Michigan","northern_pike","Northern pike","A","4.9","2027-05-01","spring_harbor","0","0","188","27","0","0"
"whitehall_mi/bluegill","whitehall_mi","Whitehall, Michigan","bluegill","Bluegill","A","5.2","2027-08-15","warm_season_harbor","0","0","100","227","0","0"
"alpena_mi/chinook_salmon","alpena_mi","Alpena, Michigan","chinook_salmon","Chinook salmon","B","5.4","2027-10-05","fall_harbor_staging","0","0","37","307","0","0"
"alpena_mi/coho_salmon","alpena_mi","Alpena, Michigan","coho_salmon","Coho salmon","B","6.5","2027-10-10","fall_harbor_return","0","0","118","198","0","0"
