speciesId,cityId,pairKey,status,evidenceGrade,peakScore,peakDate,goodDays,excellentDays
chinook_salmon,ludington_mi,ludington_mi/chinook_salmon,established,,8.3,2027-08-30,38,6
coho_salmon,ludington_mi,ludington_mi/coho_salmon,established,,5.6,2027-10-20,0,0
steelhead,ludington_mi,ludington_mi/steelhead,established,,8.1,2027-10-20,38,2
brown_trout,ludington_mi,ludington_mi/brown_trout,established,,7.6,2027-04-05,47,0
chinook_salmon,grand_haven_mi,grand_haven_mi/chinook_salmon,established,,7.8,2027-09-08,32,0
coho_salmon,grand_haven_mi,grand_haven_mi/coho_salmon,established,,8.8,2027-09-10,72,17
steelhead,grand_haven_mi,grand_haven_mi/steelhead,established,,9.2,2027-10-30,135,35
brown_trout,grand_haven_mi,grand_haven_mi/brown_trout,established,,7.6,2027-04-15,46,0
chinook_salmon,manistee_mi,manistee_mi/chinook_salmon,established,,9.5,2027-08-30,64,24
coho_salmon,manistee_mi,manistee_mi/coho_salmon,established,,8.2,2027-10-05,41,4
steelhead,manistee_mi,manistee_mi/steelhead,established,,10,2027-10-28,79,30
brown_trout,manistee_mi,manistee_mi/brown_trout,established,,8.2,2027-04-10,55,6
chinook_salmon,frankfort_elberta_mi,frankfort_elberta_mi/chinook_salmon,established,,9.7,2027-08-16,80,47
coho_salmon,frankfort_elberta_mi,frankfort_elberta_mi/coho_salmon,established,,8.6,2027-09-15,62,17
steelhead,frankfort_elberta_mi,frankfort_elberta_mi/steelhead,established,,9.8,2027-10-16,85,29
brown_trout,frankfort_elberta_mi,frankfort_elberta_mi/brown_trout,established,,7.5,2027-04-05,45,0
chinook_salmon,sheboygan_wi,sheboygan_wi/chinook_salmon,established,,9.4,2027-08-31,66,22
coho_salmon,sheboygan_wi,sheboygan_wi/coho_salmon,established,,8.2,2027-04-15,111,5
steelhead,sheboygan_wi,sheboygan_wi/steelhead,established,,7.8,2027-07-15,95,0
brown_trout,sheboygan_wi,sheboygan_wi/brown_trout,established,,7.8,2027-04-15,50,0
chinook_salmon,port_washington_wi,port_washington_wi/chinook_salmon,established,,8.6,2027-08-15,70,37
coho_salmon,port_washington_wi,port_washington_wi/coho_salmon,established,,8.5,2027-04-20,88,11
steelhead,port_washington_wi,port_washington_wi/steelhead,established,,6.6,2027-04-15,29,0
brown_trout,port_washington_wi,port_washington_wi/brown_trout,established,,8.1,2027-04-01,55,3
chinook_salmon,milwaukee_wi,milwaukee_wi/chinook_salmon,established,,7.8,2027-08-10,63,0
coho_salmon,milwaukee_wi,milwaukee_wi/coho_salmon,established,,8.2,2027-05-20,81,4
