date,pairKey,legalStatus,winningMode,seasonalPotential,scoreThermalFit0,scoreThermalFitHalf,scoreThermalFit1
2027-01-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-26,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-27,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-28,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-29,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-30,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-01-31,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-26,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-27,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-02-28,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1,1,1,1
2027-03-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.02,1.006,1.013,1.02
2027-03-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.039,1.012,1.025,1.039
2027-03-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.059,1.018,1.038,1.059
2027-03-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.078,1.024,1.051,1.078
2027-03-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.098,1.029,1.064,1.098
2027-03-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.118,1.035,1.076,1.118
2027-03-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.137,1.041,1.089,1.137
2027-03-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.157,1.047,1.102,1.157
2027-03-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.176,1.053,1.115,1.176
2027-03-25,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.196,1.059,1.127,1.196
2027-03-26,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.216,1.065,1.14,1.216
2027-03-27,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.235,1.071,1.153,1.235
2027-03-28,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.255,1.076,1.166,1.255
2027-03-29,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.274,1.082,1.178,1.274
2027-03-30,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.294,1.088,1.191,1.294
2027-03-31,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.314,1.094,1.204,1.314
2027-04-01,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.333,1.1,1.217,1.333
2027-04-02,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.353,1.106,1.229,1.353
2027-04-03,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.372,1.112,1.242,1.372
2027-04-04,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.392,1.118,1.255,1.392
2027-04-05,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.412,1.123,1.268,1.412
2027-04-06,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.431,1.129,1.28,1.431
2027-04-07,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.451,1.135,1.293,1.451
2027-04-08,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.47,1.141,1.306,1.47
2027-04-09,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.49,1.147,1.319,1.49
2027-04-10,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.51,1.153,1.331,1.51
2027-04-11,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.529,1.159,1.344,1.529
2027-04-12,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.549,1.165,1.357,1.549
2027-04-13,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.568,1.171,1.369,1.568
2027-04-14,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.588,1.176,1.382,1.588
2027-04-15,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.608,1.182,1.395,1.608
2027-04-16,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.627,1.188,1.408,1.627
2027-04-17,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.647,1.194,1.42,1.647
2027-04-18,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.666,1.2,1.433,1.666
2027-04-19,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.686,1.206,1.446,1.686
2027-04-20,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.706,1.212,1.459,1.706
2027-04-21,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.743,1.223,1.483,1.743
2027-04-22,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.78,1.234,1.507,1.78
2027-04-23,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.816,1.245,1.531,1.816
2027-04-24,two_rivers_wi/chinook_salmon,open,spring_nearshore_transient,1.853,1.256,1.555,1.853
