pairKey,date,legalStatus,winningMode,scoreThermalFit0,scoreThermalFitHalf,scoreThermalFit1
two_rivers_wi/chinook_salmon,2027-01-15,open,spring_nearshore_transient,1,1,1
two_rivers_wi/chinook_salmon,2027-02-15,open,spring_nearshore_transient,1,1,1
two_rivers_wi/chinook_salmon,2027-03-15,open,spring_nearshore_transient,1,1,1
two_rivers_wi/chinook_salmon,2027-04-15,open,spring_nearshore_transient,1.182,1.395,1.608
two_rivers_wi/chinook_salmon,2027-05-15,open,spring_nearshore_transient,1.489,2.059,2.63
two_rivers_wi/chinook_salmon,2027-06-15,open,spring_nearshore_transient,1.592,2.283,2.974
two_rivers_wi/chinook_salmon,2027-07-15,open,summer_coldwater_pulse,2.119,3.425,4.731
two_rivers_wi/chinook_salmon,2027-08-15,open,summer_coldwater_pulse,2.279,3.772,5.264
two_rivers_wi/chinook_salmon,2027-09-15,open,fall_harbor_staging,2.968,5.265,7.561
two_rivers_wi/chinook_salmon,2027-10-15,open,fall_harbor_staging,1.309,1.669,2.029
two_rivers_wi/chinook_salmon,2027-11-15,open,spring_nearshore_transient,1,1,1
two_rivers_wi/chinook_salmon,2027-12-15,open,spring_nearshore_transient,1,1,1
two_rivers_wi/coho_salmon,2027-01-15,open,spring_nearshore,1,1,1
two_rivers_wi/coho_salmon,2027-02-15,open,spring_nearshore,1,1,1
two_rivers_wi/coho_salmon,2027-03-15,open,spring_nearshore,1.629,2.363,3.096
two_rivers_wi/coho_salmon,2027-04-15,open,spring_nearshore,2.501,4.252,6.003
two_rivers_wi/coho_salmon,2027-05-15,open,spring_nearshore,2.304,3.825,5.346
two_rivers_wi/coho_salmon,2027-06-15,open,spring_nearshore,1.476,2.03,2.585
two_rivers_wi/coho_salmon,2027-07-15,open,summer_coldwater_pulse,2.5,4.25,6
two_rivers_wi/coho_salmon,2027-08-15,open,summer_coldwater_pulse,1.828,2.795,3.761
two_rivers_wi/coho_salmon,2027-09-15,open,fall_harbor_staging,2.037,3.247,4.457
two_rivers_wi/coho_salmon,2027-10-15,open,fall_harbor_staging,2.555,4.37,6.185
two_rivers_wi/coho_salmon,2027-11-15,open,fall_harbor_staging,1.424,1.918,2.412
two_rivers_wi/coho_salmon,2027-12-15,open,spring_nearshore,1,1,1
two_rivers_wi/steelhead,2027-01-15,open,winter_spring_thermal_front,1.673,2.457,3.242
