pairKey,evidenceGrade,priorFisheryStrength,fisheryStrength,strengthChange,idealPeakDate,goodDays,excellentDays,closedDays
two_rivers_wi/chinook_salmon,B,5.8,8.4,2.6,2027-09-05,22,6,0
two_rivers_wi/coho_salmon,B,4.5,7.1,2.6,2027-10-05,2,0,0
two_rivers_wi/steelhead,B,5.2,7.3,2.1,2027-10-25,7,0,0
two_rivers_wi/brown_trout,B,5.1,7.2,2.1,2027-04-10,7,0,0
kewaunee_wi/chinook_salmon,B,6.4,9.1,2.7,2027-09-05,27,16,0
kewaunee_wi/coho_salmon,B,4.8,6.8,2,2027-10-05,0,0,0
kewaunee_wi/steelhead,B,5.1,7.8,2.7,2027-10-25,31,0,0
kewaunee_wi/brown_trout,B,5.2,7.4,2.2,2027-04-10,13,0,0
kewaunee_wi/lake_trout,B,3.2,4.2,1,2027-10-25,0,0,0
algoma_wi/chinook_salmon,B,6,9,3,2027-09-05,27,16,0
algoma_wi/coho_salmon,B,4.7,7,2.3,2027-10-05,1,0,0
algoma_wi/steelhead,B,5.1,7.7,2.6,2027-10-25,26,0,0
algoma_wi/brown_trout,B,4.4,7.6,3.2,2027-04-10,19,0,0
manitowoc_wi/chinook_salmon,B,6.2,8.5,2.3,2027-09-05,23,8,0
manitowoc_wi/coho_salmon,B,5,7.2,2.2,2027-10-05,4,0,0
manitowoc_wi/steelhead,B,5.1,7.2,2.1,2027-10-25,4,0,0
manitowoc_wi/brown_trout,B,5,7.2,2.2,2027-04-10,7,0,0
manitowoc_wi/smallmouth_bass,B,4.6,5.8,1.2,2027-06-20,0,0,0
manitowoc_wi/northern_pike,B,4.2,5.2,1,2027-09-20,0,0,0
waukegan_il/chinook_salmon,B,6.1,7.6,1.5,2027-09-05,12,0,0
waukegan_il/coho_salmon,B,8,8.8,0.8,2027-04-20,41,18,0
waukegan_il/steelhead,B,5.2,6.8,1.6,2027-10-25,0,0,0
waukegan_il/brown_trout,B,4.7,7,2.3,2027-11-20,1,0,0
waukegan_il/yellow_perch,B,4.3,5.4,1.1,2027-04-15,0,0,46
