pairKey,localDate,activeMode,seasonalAvailability,seasonalPotential,idealTemperatureScore,status
"harbor_beach_mi/coho_salmon","2028-01-01","spring_coldwater_pier",0.1419,1.6813,1.6813,"available"
"harbor_beach_mi/coho_salmon","2028-01-08","spring_coldwater_pier",0.151,1.7246,1.7246,"available"
"harbor_beach_mi/coho_salmon","2028-01-15","spring_coldwater_pier",0.16,1.768,1.768,"available"
"harbor_beach_mi/coho_salmon","2028-01-22","spring_coldwater_pier",0.169,1.8114,1.8114,"available"
"harbor_beach_mi/coho_salmon","2028-01-29","spring_coldwater_pier",0.1781,1.8547,1.8547,"available"
"harbor_beach_mi/coho_salmon","2028-02-05","spring_coldwater_pier",0.1871,1.8981,1.8981,"available"
"harbor_beach_mi/coho_salmon","2028-02-12","spring_coldwater_pier",0.1961,1.9414,1.9414,"available"
"harbor_beach_mi/coho_salmon","2028-02-19","spring_coldwater_pier",0.2494,2.1972,2.1972,"available"
"harbor_beach_mi/coho_salmon","2028-02-26","spring_coldwater_pier",0.3359,2.6122,2.6122,"available"
"harbor_beach_mi/coho_salmon","2028-03-04","spring_coldwater_pier",0.4224,3.0273,3.0273,"available"
"harbor_beach_mi/coho_salmon","2028-03-11","spring_coldwater_pier",0.5088,3.4424,3.4424,"available"
"harbor_beach_mi/coho_salmon","2028-03-18","spring_coldwater_pier",0.5953,3.8574,3.8574,"available"
"harbor_beach_mi/coho_salmon","2028-03-25","spring_coldwater_pier",0.6813,4.2702,4.2702,"available"
"harbor_beach_mi/coho_salmon","2028-04-01","spring_coldwater_pier",0.7671,4.6821,4.6821,"available"
"harbor_beach_mi/coho_salmon","2028-04-08","spring_coldwater_pier",0.8529,5.0939,5.0939,"available"
"harbor_beach_mi/coho_salmon","2028-04-15","spring_coldwater_pier",0.9387,5.5058,5.5058,"available"
"harbor_beach_mi/coho_salmon","2028-04-22","spring_coldwater_pier",0.972,5.6656,5.6656,"available"
"harbor_beach_mi/coho_salmon","2028-04-29","spring_coldwater_pier",0.874,5.1952,5.1952,"available"
"harbor_beach_mi/coho_salmon","2028-05-06","spring_coldwater_pier",0.776,4.7248,4.7248,"available"
"harbor_beach_mi/coho_salmon","2028-05-13","spring_coldwater_pier",0.678,4.2544,4.2544,"available"
"harbor_beach_mi/coho_salmon","2028-05-20","spring_coldwater_pier",0.58,3.784,3.784,"available"
"harbor_beach_mi/coho_salmon","2028-05-27","spring_coldwater_pier",0.449,3.1554,3.1554,"available"
"harbor_beach_mi/coho_salmon","2028-06-03","spring_coldwater_pier",0.3181,2.5267,2.5267,"available"
"harbor_beach_mi/coho_salmon","2028-06-10","spring_coldwater_pier",0.1871,1.8981,1.8981,"available"
"harbor_beach_mi/coho_salmon","2028-06-17","spring_coldwater_pier",0.0561,1.2694,1.2694,"available"
"harbor_beach_mi/coho_salmon","2028-06-24","fall_harbor_staging",0.0245,1.0908,1.0908,"available"
"harbor_beach_mi/coho_salmon","2028-07-01","fall_harbor_staging",0.0436,1.1615,1.1615,"available"
"harbor_beach_mi/coho_salmon","2028-07-08","fall_harbor_staging",0.0627,1.2321,1.2321,"available"
"harbor_beach_mi/coho_salmon","2028-07-15","fall_harbor_staging",0.0818,1.3027,1.3027,"available"
"harbor_beach_mi/coho_salmon","2028-07-22","fall_harbor_staging",0.1009,1.3734,1.3734,"available"
"harbor_beach_mi/coho_salmon","2028-07-29","fall_harbor_staging",0.12,1.444,1.444,"available"
"harbor_beach_mi/coho_salmon","2028-08-05","fall_harbor_staging",0.1391,1.5146,1.5146,"available"
"harbor_beach_mi/coho_salmon","2028-08-12","fall_harbor_staging",0.1582,1.5853,1.5853,"available"
"harbor_beach_mi/coho_salmon","2028-08-19","fall_harbor_staging",0.1773,1.6559,1.6559,"available"
"harbor_beach_mi/coho_salmon","2028-08-26","fall_harbor_staging",0.3497,2.2937,2.2937,"available"
"harbor_beach_mi/coho_salmon","2028-09-02","fall_harbor_staging",0.5476,3.0261,3.0261,"available"
"harbor_beach_mi/coho_salmon","2028-09-09","fall_harbor_staging",0.7455,3.7584,3.7584,"available"
"harbor_beach_mi/coho_salmon","2028-09-16","fall_harbor_staging",0.9434,4.4908,4.4908,"available"
"harbor_beach_mi/coho_salmon","2028-09-23","fall_harbor_staging",0.9167,4.3917,4.3917,"available"
"harbor_beach_mi/coho_salmon","2028-09-30","fall_harbor_staging",0.8,3.96,3.96,"available"
"harbor_beach_mi/coho_salmon","2028-10-07","fall_harbor_staging",0.6833,3.5283,3.5283,"available"
"harbor_beach_mi/coho_salmon","2028-10-14","fall_harbor_staging",0.5667,3.0967,3.0967,"available"
"harbor_beach_mi/coho_salmon","2028-10-21","fall_harbor_staging",0.4668,2.7271,2.7271,"available"
"harbor_beach_mi/coho_salmon","2028-10-28","fall_harbor_staging",0.3697,2.3678,2.3678,"available"
"harbor_beach_mi/coho_salmon","2028-11-04","fall_harbor_staging",0.2726,2.0085,2.0085,"available"
"harbor_beach_mi/coho_salmon","2028-11-11","fall_harbor_staging",0.1755,1.6493,1.6493,"available"
"harbor_beach_mi/coho_salmon","2028-11-18","fall_harbor_staging",0.108,1.3996,1.3996,"available"
"harbor_beach_mi/coho_salmon","2028-11-25","spring_coldwater_pier",0.0807,1.3871,1.3871,"available"
"harbor_beach_mi/coho_salmon","2028-12-02","spring_coldwater_pier",0.0944,1.4532,1.4532,"available"
"harbor_beach_mi/coho_salmon","2028-12-09","spring_coldwater_pier",0.1082,1.5193,1.5193,"available"
"harbor_beach_mi/coho_salmon","2028-12-16","spring_coldwater_pier",0.1213,1.5822,1.5822,"available"
"harbor_beach_mi/coho_salmon","2028-12-23","spring_coldwater_pier",0.1303,1.6255,1.6255,"available"
"harbor_beach_mi/coho_salmon","2028-12-30","spring_coldwater_pier",0.1394,1.6689,1.6689,"available"
"harbor_beach_mi/smallmouth_bass","2028-01-01","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-01-08","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-01-15","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-01-22","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-01-29","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-02-05","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-02-12","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-02-19","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-02-26","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-03-04","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-03-11","warm_season_breakwall",0,1,1,"available"
"harbor_beach_mi/smallmouth_bass","2028-03-18","warm_season_breakwall",0.0204,1.0797,1.0797,"available"
"harbor_beach_mi/smallmouth_bass","2028-03-25","warm_season_breakwall",0.0681,1.2655,1.2655,"available"
