city_id,species_id,raw_row_count,positive_row_count,positive_years,positive_months,catch_estimate_sum,harvest_estimate_sum
pentwater_mi,chinook_salmon,45,21,2000|2001|2007|2008|2009|2010|2011|2012|2013|2014,4|7|8|9,397,384
pentwater_mi,coho_salmon,47,25,2000|2001|2008|2009|2012|2013|2014|2017|2018,4|7|8|9|10,281,248
pentwater_mi,steelhead,70,50,2000|2001|2003|2005|2006|2007|2008|2009|2010|2011|2013|2014|2015|2018,4|6|7|8|9|10,975,823
pentwater_mi,brown_trout,50,30,2000|2003|2005|2006|2007|2009|2011|2012|2014|2015|2016|2018,4|5|6|8|9|10,452,437
pentwater_mi,lake_trout,28,2,2015,4,2,2
pentwater_mi,walleye,30,5,2001|2016|2018,4|7,68,43
pentwater_mi,smallmouth_bass,39,19,1998|2000|2006|2013|2014|2015|2016|2018,5|6|7|8|9,1466,139
pentwater_mi,freshwater_drum,33,7,2004|2009|2015|2016,6|7|8,420,198
pentwater_mi,yellow_perch,42,18,2008|2009|2010|2012|2013|2014|2016,6|7|8|9,8865,8341
pentwater_mi,lake_whitefish,26,1,2012,7,324,0
pentwater_mi,round_whitefish,28,2,2010,10,7,7
pentwater_mi,channel_catfish,26,0,,,0,0
pentwater_mi,largemouth_bass,27,2,2014|2018,5|9,16,0
pentwater_mi,atlantic_salmon,14,0,,,0,0
pentwater_mi,northern_pike,30,4,2014,4|6,95,95
pentwater_mi,burbot,0,0,,,0,0
pentwater_mi,white_perch,26,0,,,0,0
pentwater_mi,white_bass,26,0,,,0,0
rogers_city_mi,chinook_salmon,9,8,2003|2006|2010|2011,9|10,587,587
rogers_city_mi,coho_salmon,0,0,,,0,0
rogers_city_mi,steelhead,7,7,1989|2007|2009|2010|2011,4|5,45,78
rogers_city_mi,brown_trout,23,20,1994|2005|2006|2007|2008|2009|2010|2011,4|5|6|9|10,304,184
rogers_city_mi,lake_trout,5,5,2006|2007|2008|2009,4,48,3
rogers_city_mi,walleye,6,6,2005|2008|2009,4|5|6,74,60
rogers_city_mi,smallmouth_bass,0,0,,,0,0
rogers_city_mi,freshwater_drum,0,0,,,0,0
rogers_city_mi,yellow_perch,1,1,2010,7,226,0
rogers_city_mi,lake_whitefish,0,0,,,0,0
rogers_city_mi,round_whitefish,0,0,,,0,0
rogers_city_mi,channel_catfish,0,0,,,0,0
rogers_city_mi,largemouth_bass,0,0,,,0,0
rogers_city_mi,atlantic_salmon,2,2,2008,6,14,14
rogers_city_mi,northern_pike,3,3,1990|2008|2010,6|9|10,16,21
rogers_city_mi,burbot,0,0,,,0,0
rogers_city_mi,white_perch,0,0,,,0,0
rogers_city_mi,white_bass,0,0,,,0,0
tawas_city_mi,chinook_salmon,0,0,,,0,0
tawas_city_mi,coho_salmon,0,0,,,0,0
tawas_city_mi,steelhead,0,0,,,0,0
tawas_city_mi,brown_trout,0,0,,,0,0
tawas_city_mi,lake_trout,0,0,,,0,0
tawas_city_mi,walleye,0,0,,,0,0
tawas_city_mi,smallmouth_bass,0,0,,,0,0
tawas_city_mi,freshwater_drum,0,0,,,0,0
tawas_city_mi,yellow_perch,0,0,,,0,0
tawas_city_mi,lake_whitefish,0,0,,,0,0
tawas_city_mi,round_whitefish,0,0,,,0,0
tawas_city_mi,channel_catfish,0,0,,,0,0
tawas_city_mi,largemouth_bass,0,0,,,0,0
tawas_city_mi,atlantic_salmon,0,0,,,0,0
tawas_city_mi,northern_pike,0,0,,,0,0
tawas_city_mi,burbot,0,0,,,0,0
tawas_city_mi,white_perch,0,0,,,0,0
tawas_city_mi,white_bass,0,0,,,0,0
charlevoix_mi,chinook_salmon,83,21,1990|1991|1994|2005|2007|2008|2010|2012|2014|2015|2016|2018,6|8|9|10,157,448
charlevoix_mi,coho_salmon,62,0,,,0,0
charlevoix_mi,steelhead,77,17,1998|1999|2000|2004|2008|2009|2010|2014|2016|2017|2020,5|6|7|8|9|10,388,165
charlevoix_mi,brown_trout,64,2,2001,7,24,24
charlevoix_mi,lake_trout,72,17,2015|2016|2017|2019|2020|2021,5|6|8|10,431,266
charlevoix_mi,walleye,95,39,1995|1996|1997|1998|1999|2000|2002|2006|2007|2010|2011|2012|2015|2016|2021,5|6|7|8|9,1118,1591
charlevoix_mi,smallmouth_bass,209,191,1989|1991|1992|1995|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,5|6|7|8|9|10,81687,9102
charlevoix_mi,freshwater_drum,77,21,2001|2005|2010|2013|2015|2016|2017|2018|2019|2020|2021|2022,6|7|8,806,181
charlevoix_mi,yellow_perch,72,18,1989|2000|2006|2012|2015|2017|2018|2019|2021,5|6|7|8|9,1197,859
charlevoix_mi,lake_whitefish,64,2,2003,6,23,23
charlevoix_mi,round_whitefish,62,0,,,0,0
charlevoix_mi,channel_catfish,67,1,1994,9,0,17
charlevoix_mi,largemouth_bass,63,1,1992,9,0,31
charlevoix_mi,atlantic_salmon,26,0,,,0,0
charlevoix_mi,northern_pike,62,0,,,0,0
charlevoix_mi,burbot,0,0,,,0,0
charlevoix_mi,white_perch,62,0,,,0,0
charlevoix_mi,white_bass,60,0,,,0,0
caseville_mi,chinook_salmon,0,0,,,0,0
caseville_mi,coho_salmon,0,0,,,0,0
caseville_mi,steelhead,0,0,,,0,0
caseville_mi,brown_trout,0,0,,,0,0
