species_id,species_name,rank,city_id,city_name,pair_key,peak,cohort
atlantic_salmon,Atlantic salmon,1,oscoda_mi,Oscoda,oscoda_mi/atlantic_salmon,8.4,established_27_city_baseline
atlantic_salmon,Atlantic salmon,2,lexington_mi,Lexington,lexington_mi/atlantic_salmon,8,established_27_city_baseline
atlantic_salmon,Atlantic salmon,3,alpena_mi,Alpena,alpena_mi/atlantic_salmon,7.2,established_27_city_baseline
atlantic_salmon,Atlantic salmon,4,rogers_city_mi,Rogers City,rogers_city_mi/atlantic_salmon,6.8,new_private_pass2
atlantic_salmon,Atlantic salmon,5,port_sanilac_mi,Port Sanilac,port_sanilac_mi/atlantic_salmon,6.3,established_27_city_baseline
atlantic_salmon,Atlantic salmon,6,harrisville_mi,Harrisville,harrisville_mi/atlantic_salmon,5.8,established_27_city_baseline
atlantic_salmon,Atlantic salmon,7,harbor_beach_mi,Harbor Beach,harbor_beach_mi/atlantic_salmon,5.2,established_27_city_baseline
brown_trout,Brown trout,1,manistee_mi,Manistee,manistee_mi/brown_trout,8.2,established_27_city_baseline
brown_trout,Brown trout,2,port_washington_wi,Port Washington,port_washington_wi/brown_trout,8.1,established_27_city_baseline
brown_trout,Brown trout,3,sheboygan_wi,Sheboygan,sheboygan_wi/brown_trout,7.8,established_27_city_baseline
brown_trout,Brown trout,4,whitehall_mi,Whitehall,whitehall_mi/brown_trout,7.7,established_27_city_baseline
brown_trout,Brown trout,5,algoma_wi,Algoma,algoma_wi/brown_trout,7.6,established_27_city_baseline
brown_trout,Brown trout,6,grand_haven_mi,Grand Haven,grand_haven_mi/brown_trout,7.6,established_27_city_baseline
brown_trout,Brown trout,7,ludington_mi,Ludington,ludington_mi/brown_trout,7.6,established_27_city_baseline
brown_trout,Brown trout,8,frankfort_elberta_mi,Frankfort–Elberta,frankfort_elberta_mi/brown_trout,7.5,established_27_city_baseline
brown_trout,Brown trout,9,kewaunee_wi,Kewaunee,kewaunee_wi/brown_trout,7.4,established_27_city_baseline
brown_trout,Brown trout,10,milwaukee_wi,Milwaukee,milwaukee_wi/brown_trout,7.4,established_27_city_baseline
brown_trout,Brown trout,11,pentwater_mi,Pentwater,pentwater_mi/brown_trout,7.3,new_private_pass2
brown_trout,Brown trout,12,racine_wi,Racine,racine_wi/brown_trout,7.3,established_27_city_baseline
brown_trout,Brown trout,13,holland_mi,Holland,holland_mi/brown_trout,7.2,established_27_city_baseline
brown_trout,Brown trout,14,manitowoc_wi,Manitowoc,manitowoc_wi/brown_trout,7.2,established_27_city_baseline
brown_trout,Brown trout,15,two_rivers_wi,Two Rivers,two_rivers_wi/brown_trout,7.2,established_27_city_baseline
brown_trout,Brown trout,16,muskegon_mi,Muskegon,muskegon_mi/brown_trout,7,established_27_city_baseline
brown_trout,Brown trout,17,waukegan_il,Waukegan,waukegan_il/brown_trout,7,established_27_city_baseline
brown_trout,Brown trout,18,south_haven_mi,South Haven,south_haven_mi/brown_trout,6.5,established_27_city_baseline
brown_trout,Brown trout,19,st_joseph_mi,St. Joseph,st_joseph_mi/brown_trout,6.5,established_27_city_baseline
brown_trout,Brown trout,20,kenosha_wi,Kenosha,kenosha_wi/brown_trout,6.4,established_27_city_baseline
brown_trout,Brown trout,21,chicago_il,Chicago,chicago_il/brown_trout,6.2,established_27_city_baseline
brown_trout,Brown trout,22,michigan_city_in,Michigan City,michigan_city_in/brown_trout,6,established_27_city_baseline
brown_trout,Brown trout,23,rogers_city_mi,Rogers City,rogers_city_mi/brown_trout,5.8,new_private_pass2
brown_trout,Brown trout,24,alpena_mi,Alpena,alpena_mi/brown_trout,5.4,established_27_city_baseline
brown_trout,Brown trout,25,harrisville_mi,Harrisville,harrisville_mi/brown_trout,5,established_27_city_baseline
brown_trout,Brown trout,26,lexington_mi,Lexington,lexington_mi/brown_trout,5,established_27_city_baseline
brown_trout,Brown trout,27,port_sanilac_mi,Port Sanilac,port_sanilac_mi/brown_trout,4.8,established_27_city_baseline
burbot,Burbot,1,ludington_mi,Ludington,ludington_mi/burbot,4.6,established_27_city_baseline
burbot,Burbot,2,manistee_mi,Manistee,manistee_mi/burbot,4.5,established_27_city_baseline
burbot,Burbot,3,tawas_city_mi,Tawas City,tawas_city_mi/burbot,4.3,new_private_pass2
channel_catfish,Channel catfish,1,grand_haven_mi,Grand Haven,grand_haven_mi/channel_catfish,6.8,established_27_city_baseline
channel_catfish,Channel catfish,2,muskegon_mi,Muskegon,muskegon_mi/channel_catfish,6,established_27_city_baseline
channel_catfish,Channel catfish,3,south_haven_mi,South Haven,south_haven_mi/channel_catfish,5.2,established_27_city_baseline
channel_catfish,Channel catfish,4,whitehall_mi,Whitehall,whitehall_mi/channel_catfish,5,established_27_city_baseline
channel_catfish,Channel catfish,5,lexington_mi,Lexington,lexington_mi/channel_catfish,4.3,established_27_city_baseline
channel_catfish,Channel catfish,6,oscoda_mi,Oscoda,oscoda_mi/channel_catfish,4.2,established_27_city_baseline
chinook_salmon,Chinook salmon,1,frankfort_elberta_mi,Frankfort–Elberta,frankfort_elberta_mi/chinook_salmon,9.7,established_27_city_baseline
chinook_salmon,Chinook salmon,2,manistee_mi,Manistee,manistee_mi/chinook_salmon,9.5,established_27_city_baseline
chinook_salmon,Chinook salmon,3,sheboygan_wi,Sheboygan,sheboygan_wi/chinook_salmon,9.4,established_27_city_baseline
chinook_salmon,Chinook salmon,4,whitehall_mi,Whitehall,whitehall_mi/chinook_salmon,9.3,established_27_city_baseline
chinook_salmon,Chinook salmon,5,kewaunee_wi,Kewaunee,kewaunee_wi/chinook_salmon,9.1,established_27_city_baseline
chinook_salmon,Chinook salmon,6,algoma_wi,Algoma,algoma_wi/chinook_salmon,9,established_27_city_baseline
chinook_salmon,Chinook salmon,7,port_washington_wi,Port Washington,port_washington_wi/chinook_salmon,8.6,established_27_city_baseline
chinook_salmon,Chinook salmon,8,manitowoc_wi,Manitowoc,manitowoc_wi/chinook_salmon,8.5,established_27_city_baseline
chinook_salmon,Chinook salmon,9,two_rivers_wi,Two Rivers,two_rivers_wi/chinook_salmon,8.4,established_27_city_baseline
chinook_salmon,Chinook salmon,10,ludington_mi,Ludington,ludington_mi/chinook_salmon,8.3,established_27_city_baseline
chinook_salmon,Chinook salmon,11,racine_wi,Racine,racine_wi/chinook_salmon,8.1,established_27_city_baseline
chinook_salmon,Chinook salmon,12,grand_haven_mi,Grand Haven,grand_haven_mi/chinook_salmon,7.8,established_27_city_baseline
chinook_salmon,Chinook salmon,13,holland_mi,Holland,holland_mi/chinook_salmon,7.8,established_27_city_baseline
chinook_salmon,Chinook salmon,14,milwaukee_wi,Milwaukee,milwaukee_wi/chinook_salmon,7.8,established_27_city_baseline
chinook_salmon,Chinook salmon,15,waukegan_il,Waukegan,waukegan_il/chinook_salmon,7.6,established_27_city_baseline
chinook_salmon,Chinook salmon,16,pentwater_mi,Pentwater,pentwater_mi/chinook_salmon,7.5,new_private_pass2
chinook_salmon,Chinook salmon,17,kenosha_wi,Kenosha,kenosha_wi/chinook_salmon,7.4,established_27_city_baseline
chinook_salmon,Chinook salmon,18,michigan_city_in,Michigan City,michigan_city_in/chinook_salmon,7.4,established_27_city_baseline
chinook_salmon,Chinook salmon,19,charlevoix_mi,Charlevoix,charlevoix_mi/chinook_salmon,7.2,new_private_pass2
chinook_salmon,Chinook salmon,20,chicago_il,Chicago,chicago_il/chinook_salmon,7,established_27_city_baseline
chinook_salmon,Chinook salmon,21,south_haven_mi,South Haven,south_haven_mi/chinook_salmon,7,established_27_city_baseline
chinook_salmon,Chinook salmon,22,st_joseph_mi,St. Joseph,st_joseph_mi/chinook_salmon,6.8,established_27_city_baseline
chinook_salmon,Chinook salmon,23,harrisville_mi,Harrisville,harrisville_mi/chinook_salmon,6.6,established_27_city_baseline
chinook_salmon,Chinook salmon,24,muskegon_mi,Muskegon,muskegon_mi/chinook_salmon,6.5,established_27_city_baseline
chinook_salmon,Chinook salmon,25,rogers_city_mi,Rogers City,rogers_city_mi/chinook_salmon,6,new_private_pass2
chinook_salmon,Chinook salmon,26,lexington_mi,Lexington,lexington_mi/chinook_salmon,5.6,established_27_city_baseline
chinook_salmon,Chinook salmon,27,oscoda_mi,Oscoda,oscoda_mi/chinook_salmon,5.5,established_27_city_baseline
chinook_salmon,Chinook salmon,28,alpena_mi,Alpena,alpena_mi/chinook_salmon,5.4,established_27_city_baseline
chinook_salmon,Chinook salmon,29,port_sanilac_mi,Port Sanilac,port_sanilac_mi/chinook_salmon,5,established_27_city_baseline
coho_salmon,Coho salmon,1,grand_haven_mi,Grand Haven,grand_haven_mi/coho_salmon,8.8,established_27_city_baseline
coho_salmon,Coho salmon,2,waukegan_il,Waukegan,waukegan_il/coho_salmon,8.8,established_27_city_baseline
coho_salmon,Coho salmon,3,michigan_city_in,Michigan City,michigan_city_in/coho_salmon,8.7,established_27_city_baseline
coho_salmon,Coho salmon,4,frankfort_elberta_mi,Frankfort–Elberta,frankfort_elberta_mi/coho_salmon,8.6,established_27_city_baseline
coho_salmon,Coho salmon,5,kenosha_wi,Kenosha,kenosha_wi/coho_salmon,8.6,established_27_city_baseline
coho_salmon,Coho salmon,6,st_joseph_mi,St. Joseph,st_joseph_mi/coho_salmon,8.6,established_27_city_baseline
coho_salmon,Coho salmon,7,port_washington_wi,Port Washington,port_washington_wi/coho_salmon,8.5,established_27_city_baseline
coho_salmon,Coho salmon,8,racine_wi,Racine,racine_wi/coho_salmon,8.5,established_27_city_baseline
coho_salmon,Coho salmon,9,chicago_il,Chicago,chicago_il/coho_salmon,8.2,established_27_city_baseline
coho_salmon,Coho salmon,10,manistee_mi,Manistee,manistee_mi/coho_salmon,8.2,established_27_city_baseline
coho_salmon,Coho salmon,11,milwaukee_wi,Milwaukee,milwaukee_wi/coho_salmon,8.2,established_27_city_baseline
coho_salmon,Coho salmon,12,sheboygan_wi,Sheboygan,sheboygan_wi/coho_salmon,8.2,established_27_city_baseline
coho_salmon,Coho salmon,13,south_haven_mi,South Haven,south_haven_mi/coho_salmon,7.8,established_27_city_baseline
coho_salmon,Coho salmon,14,whitehall_mi,Whitehall,whitehall_mi/coho_salmon,7.4,established_27_city_baseline
coho_salmon,Coho salmon,15,manitowoc_wi,Manitowoc,manitowoc_wi/coho_salmon,7.2,established_27_city_baseline
coho_salmon,Coho salmon,16,pentwater_mi,Pentwater,pentwater_mi/coho_salmon,7.2,new_private_pass2
coho_salmon,Coho salmon,17,two_rivers_wi,Two Rivers,two_rivers_wi/coho_salmon,7.1,established_27_city_baseline
coho_salmon,Coho salmon,18,algoma_wi,Algoma,algoma_wi/coho_salmon,7,established_27_city_baseline
coho_salmon,Coho salmon,19,holland_mi,Holland,holland_mi/coho_salmon,7,established_27_city_baseline
coho_salmon,Coho salmon,20,kewaunee_wi,Kewaunee,kewaunee_wi/coho_salmon,6.8,established_27_city_baseline
coho_salmon,Coho salmon,21,lexington_mi,Lexington,lexington_mi/coho_salmon,6.8,established_27_city_baseline
coho_salmon,Coho salmon,22,alpena_mi,Alpena,alpena_mi/coho_salmon,6.5,established_27_city_baseline
coho_salmon,Coho salmon,23,oscoda_mi,Oscoda,oscoda_mi/coho_salmon,6.5,established_27_city_baseline
coho_salmon,Coho salmon,24,muskegon_mi,Muskegon,muskegon_mi/coho_salmon,6.4,established_27_city_baseline
coho_salmon,Coho salmon,25,port_sanilac_mi,Port Sanilac,port_sanilac_mi/coho_salmon,6.4,established_27_city_baseline
coho_salmon,Coho salmon,26,harrisville_mi,Harrisville,harrisville_mi/coho_salmon,6.2,established_27_city_baseline
coho_salmon,Coho salmon,27,harbor_beach_mi,Harbor Beach,harbor_beach_mi/coho_salmon,5.8,established_27_city_baseline
coho_salmon,Coho salmon,28,tawas_city_mi,Tawas City,tawas_city_mi/coho_salmon,5.8,new_private_pass2
coho_salmon,Coho salmon,29,ludington_mi,Ludington,ludington_mi/coho_salmon,5.6,established_27_city_baseline
