year,port,mode,species,month,estimateType,estimate
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,354
1989,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,5,Harvest,26
1989,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,5152
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,37
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,84
1989,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,1974
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,Harvest,95
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,150
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,Harvest,15
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,7,Harvest,10
1989,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,7,Harvest,108
1989,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,11724
1989,FRANKFORT-ELBERTA,Pier/Dock,Rockbass,7,Harvest,174
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,Harvest,177
1989,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,7,Harvest,1881
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,794
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,352
1989,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Harvest,264
1989,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,12586
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Harvest,138
1989,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,8,Harvest,38
1989,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,61
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,40
1989,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,6168
1989,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,Harvest,10
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,38
1989,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,4451
1989,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,715
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,109
1989,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,10,Harvest,12
1989,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,11,Harvest,58
1989,FRANKFORT-ELBERTA,Pier/Dock,,11,Angler Hours,4020
1989,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,11,Harvest,8
1989,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,11,Harvest,218
1990,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,212
1990,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,4449
1990,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,6
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,127
1990,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,148
1990,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,2391
1990,FRANKFORT-ELBERTA,Pier/Dock,Other,5,Harvest,33
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,13
1990,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,5,Harvest,57
1990,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,6,Harvest,6
1990,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,2329
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,Harvest,51
1990,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,10854
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,Harvest,649
1990,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Harvest,9
1990,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,446
1990,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,47
1990,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,7708
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Harvest,30
1990,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,Harvest,27
1990,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,54
1990,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,167
1990,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,6720
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,Harvest,201
1990,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,86
1990,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,5270
1990,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,1330
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,170
1990,FRANKFORT-ELBERTA,Pier/Dock,,11,Angler Hours,747
1990,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,11,Harvest,74
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,11,Harvest,65
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,168
1991,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,3418
1991,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,22
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,38
1991,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,4,Harvest,241
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,427
1991,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,5,Harvest,15
1991,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,3019
1991,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,5,Harvest,18
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,82
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,59
1991,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,3051
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,Harvest,5
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,Harvest,371
1991,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,7,Harvest,73
1991,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,7542
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,Harvest,280
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Harvest,138
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,179
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,145
1991,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Harvest,16
1991,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,7359
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Harvest,35
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,44
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,3
1991,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,4699
1991,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,9,Harvest,54
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,2
1991,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,4999
1991,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,1159
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,482
1991,FRANKFORT-ELBERTA,Pier/Dock,,11,Angler Hours,476
1991,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,11,Harvest,132
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,11,Harvest,47
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,29
1992,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,1766
1992,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,13
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,6
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,67
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,5,Harvest,5
1992,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,1573
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,33
1992,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,2121
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,236
