speciesId,temperatureC,suitability,status,interpretation
lake_trout,0.0,0.650000,available,hypothetical_research_only
lake_trout,0.1,0.657500,available,hypothetical_research_only
lake_trout,0.2,0.665000,available,hypothetical_research_only
lake_trout,0.3,0.672500,available,hypothetical_research_only
lake_trout,0.4,0.680000,available,hypothetical_research_only
lake_trout,0.5,0.687500,available,hypothetical_research_only
lake_trout,0.6,0.695000,available,hypothetical_research_only
lake_trout,0.7,0.702500,available,hypothetical_research_only
lake_trout,0.8,0.710000,available,hypothetical_research_only
lake_trout,0.9,0.717500,available,hypothetical_research_only
lake_trout,1.0,0.725000,available,hypothetical_research_only
lake_trout,1.1,0.732500,available,hypothetical_research_only
lake_trout,1.2,0.740000,available,hypothetical_research_only
lake_trout,1.3,0.747500,available,hypothetical_research_only
lake_trout,1.4,0.755000,available,hypothetical_research_only
lake_trout,1.5,0.762500,available,hypothetical_research_only
lake_trout,1.6,0.770000,available,hypothetical_research_only
lake_trout,1.7,0.777500,available,hypothetical_research_only
lake_trout,1.8,0.785000,available,hypothetical_research_only
lake_trout,1.9,0.792500,available,hypothetical_research_only
lake_trout,2.0,0.800000,available,hypothetical_research_only
lake_trout,2.1,0.805000,available,hypothetical_research_only
lake_trout,2.2,0.810000,available,hypothetical_research_only
lake_trout,2.3,0.815000,available,hypothetical_research_only
lake_trout,2.4,0.820000,available,hypothetical_research_only
lake_trout,2.5,0.825000,available,hypothetical_research_only
lake_trout,2.6,0.830000,available,hypothetical_research_only
lake_trout,2.7,0.835000,available,hypothetical_research_only
lake_trout,2.8,0.840000,available,hypothetical_research_only
lake_trout,2.9,0.845000,available,hypothetical_research_only
lake_trout,3.0,0.850000,available,hypothetical_research_only
lake_trout,3.1,0.855000,available,hypothetical_research_only
lake_trout,3.2,0.860000,available,hypothetical_research_only
lake_trout,3.3,0.865000,available,hypothetical_research_only
lake_trout,3.4,0.870000,available,hypothetical_research_only
lake_trout,3.5,0.875000,available,hypothetical_research_only
lake_trout,3.6,0.880000,available,hypothetical_research_only
lake_trout,3.7,0.885000,available,hypothetical_research_only
lake_trout,3.8,0.890000,available,hypothetical_research_only
