cityId,cityName,speciesId,speciesName,curveId,evidenceGrade,minimum,maximum,peakBand,peakDates,daysStrongOrBetter,daysExcellentOrBetter,daysReferenceClass,perfectTemperatureV2Maximum,canDisplayTenUnderV2,reviewFlags
ludington_mi,Ludington,chinook_salmon,Chinook Salmon,ludington_mi__chinook_salmon__v0_4,A,1,8.3,excellent,08-30,32,8,0,8.665,false,legacy_formula_cannot_display_10
ludington_mi,Ludington,coho_salmon,Coho Salmon,ludington_mi__coho_salmon__v0_4,A,1.3,5.6,ordinary,10-20,0,0,0,5.83,false,legacy_formula_cannot_display_10
ludington_mi,Ludington,steelhead,Steelhead,ludington_mi__steelhead__v0_4,A,1.5,8.1,excellent,10-20,42,1,0,8.455,false,legacy_formula_cannot_display_10
ludington_mi,Ludington,brown_trout,Brown Trout,ludington_mi__brown_trout__v0_4,A,1.2,7.6,strong,04-05,57,0,0,7.93,false,legacy_formula_cannot_display_10
ludington_mi,Ludington,smallmouth_bass,Smallmouth Bass,ludington_mi__smallmouth_bass__annual_v1,C,1.5,4.5,ordinary,07-15,0,0,0,4.675,false,low_confidence_numeric_curve|legacy_formula_cannot_display_10
ludington_mi,Ludington,yellow_perch,Yellow Perch,ludington_mi__yellow_perch__annual_v1,C,1.5,6,ordinary,07-15,0,0,0,6.25,false,low_confidence_numeric_curve|legacy_formula_cannot_display_10
grand_haven_mi,Grand Haven,chinook_salmon,Chinook Salmon,grand_haven_mi__chinook_salmon__v0_4,A,1,7.8,strong,09-08,33,0,0,8.14,false,legacy_formula_cannot_display_10
grand_haven_mi,Grand Haven,coho_salmon,Coho Salmon,grand_haven_mi__coho_salmon__v0_4,A,1.7,8.8,excellent,09-10,82,15,0,9.19,false,legacy_formula_cannot_display_10
grand_haven_mi,Grand Haven,steelhead,Steelhead,grand_haven_mi__steelhead__v0_4,A,3.4,9.2,excellent,10-30,149,63,0,9.61,false,legacy_formula_cannot_display_10|weak_season_never_reaches_negligible_band
grand_haven_mi,Grand Haven,brown_trout,Brown Trout,grand_haven_mi__brown_trout__v0_4,A,1,7.6,strong,04-15,54,0,0,7.93,false,legacy_formula_cannot_display_10
grand_haven_mi,Grand Haven,freshwater_drum,Freshwater Drum,grand_haven_mi__freshwater_drum__annual_v1,C,1.5,7,strong,06-15,102,0,0,7.3,false,low_confidence_numeric_curve|legacy_formula_cannot_display_10
grand_haven_mi,Grand Haven,largemouth_bass,Largemouth Bass,grand_haven_mi__largemouth_bass__annual_v1,C,1.5,6.5,strong,08-15,13,0,0,6.775,false,low_confidence_numeric_curve|legacy_formula_cannot_display_10
manistee_mi,Manistee,chinook_salmon,Chinook Salmon,manistee_mi__chinook_salmon__v0_4,A,1,9.5,reference_class,08-30,52,25,1,9.925,false,legacy_formula_cannot_display_10
manistee_mi,Manistee,coho_salmon,Coho Salmon,manistee_mi__coho_salmon__v0_4,A,1.5,8.2,excellent,10-05,60,3,0,8.56,false,legacy_formula_cannot_display_10
manistee_mi,Manistee,steelhead,Steelhead,manistee_mi__steelhead__v0_4,A,3,10,reference_class,10-28,102,39,10,10,true,weak_season_never_reaches_negligible_band
manistee_mi,Manistee,brown_trout,Brown Trout,manistee_mi__brown_trout__v0_4,A,1,8.2,excellent,04-10,68,7,0,8.56,false,legacy_formula_cannot_display_10
