pairKey,cityId,speciesId,evidenceGrade,modeCount,peakDate,peakMode,peakScore,goodDays,excellentDays,april15,june15,september16,october15,december15,springMaximum,summerMaximum,fallMaximum,winterMaximum
ludington_mi/chinook_salmon,ludington_mi,chinook_salmon,A,3,2027-08-30,fall_harbor_staging,8.3,38,6,2.36,3.57,7.06,3.21,1,4.83,8.3,8.15,1
ludington_mi/coho_salmon,ludington_mi,coho_salmon,A,3,2027-10-20,fall_harbor_staging,5.6,0,0,2.67,1.36,3.46,5.28,1,2.8,2.7,5.6,1.41
ludington_mi/steelhead,ludington_mi,steelhead,A,3,2027-10-20,fall_harbor_staging,8.1,38,2,6,2.82,3.49,7.39,2.79,6,3,8.1,4.74
ludington_mi/brown_trout,ludington_mi,brown_trout,A,3,2027-04-05,spring_nearshore,7.6,47,0,7.19,3.27,1.66,2.14,3.9,7.6,4.39,3.33,4.9
grand_haven_mi/chinook_salmon,grand_haven_mi,chinook_salmon,A,3,2027-09-08,fall_harbor_staging,7.8,32,0,2.31,2.05,7.17,3.49,1,3.8,6.53,7.8,1
grand_haven_mi/coho_salmon,grand_haven_mi,coho_salmon,A,3,2027-09-10,fall_harbor_staging,8.8,72,17,5.03,2.86,8.44,6.37,1,6.8,6.62,8.8,1.82
grand_haven_mi/steelhead,grand_haven_mi,steelhead,A,3,2027-10-30,fall_harbor_staging,9.2,130,35,7.1,8.8,3.43,7.05,3.19,7.1,8.8,9.2,5.57
grand_haven_mi/brown_trout,grand_haven_mi,brown_trout,A,3,2027-04-15,spring_nearshore,7.6,46,0,7.6,3.56,1.74,2.28,3.97,7.6,4.81,3.39,5
manistee_mi/chinook_salmon,manistee_mi,chinook_salmon,A,3,2027-08-30,fall_harbor_staging,9.5,64,24,2.86,4.53,8.06,3.57,1,6.27,9.5,9.33,1
manistee_mi/coho_salmon,manistee_mi,coho_salmon,A,3,2027-10-05,fall_harbor_staging,8.2,41,4,2.87,1.96,5.84,7.41,1,3.8,3.98,8.2,1.37
manistee_mi/steelhead,manistee_mi,steelhead,A,3,2027-10-28,fall_harbor_staging,10,79,30,6.8,3.52,3.67,7.95,3.08,6.8,4.8,10,5.34
manistee_mi/brown_trout,manistee_mi,brown_trout,A,3,2027-04-10,spring_nearshore,8.2,55,6,7.97,3.59,1.82,2.41,4.12,8.2,4.91,3.51,5.2
frankfort_elberta_mi/chinook_salmon,frankfort_elberta_mi,chinook_salmon,A,3,2027-08-16,fall_harbor_staging,9.7,68,36,1.79,3.7,7.21,3.15,1,3.21,9.7,8.57,1
frankfort_elberta_mi/coho_salmon,frankfort_elberta_mi,coho_salmon,A,3,2027-09-15,fall_harbor_staging,8.6,50,13,2.8,1.41,8.54,6.55,1,2.8,6.1,8.6,1.34
frankfort_elberta_mi/steelhead,frankfort_elberta_mi,steelhead,A,3,2027-10-16,fall_harbor_staging,9.8,85,29,7,2.78,4.26,9.61,3.15,7,5.2,9.8,5.49
frankfort_elberta_mi/brown_trout,frankfort_elberta_mi,brown_trout,A,3,2027-04-05,spring_nearshore,7.5,45,0,7.09,3.24,1.82,2.41,4.2,7.5,4.34,3.57,5.3
sheboygan_wi/chinook_salmon,sheboygan_wi,chinook_salmon,B,3,2027-08-31,fall_harbor_staging,9.4,66,22,1.38,2.3,8.06,3.69,1,2.06,9.4,9.32,1
sheboygan_wi/coho_salmon,sheboygan_wi,coho_salmon,B,3,2027-04-15,spring_nearshore,7.7,92,0,7.7,2.53,6.68,5.06,1,7.7,7.5,7,2.27
sheboygan_wi/steelhead,sheboygan_wi,steelhead,B,3,2027-07-15,summer_thermal_break_or_upwelling,7.3,65,0,6.8,3.67,3.32,6.05,3.08,6.8,7.3,6.3,5.34
sheboygan_wi/brown_trout,sheboygan_wi,brown_trout,B,3,2027-04-15,spring_nearshore,7.8,50,0,7.8,3.64,4.31,3.37,4.49,7.8,4.92,4.5,5.7
port_washington_wi/chinook_salmon,port_washington_wi,chinook_salmon,B,2,2027-08-15,fall_harbor_staging,7.2,39,0,1,2.07,5.34,2.53,1,1,7.2,6.34,1
