date,pair_key,city_id,species_id,legal_status,access_status,product_availability,winning_mode,fishery_strength,seasonal_availability,seasonal_potential,score_t0,score_t0_25,score_t0_5,score_t0_75,score_t1,user_facing_score
2026-01-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.036,1.161,1.048,1.076,1.105,1.133,1.161,
2026-02-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.114,1.517,1.155,1.246,1.336,1.427,1.517,
2026-03-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.32,2.446,1.434,1.687,1.94,2.193,2.446,
2026-04-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.696,4.148,1.944,2.495,3.046,3.597,4.148,
2026-05-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.938,5.237,2.271,3.013,3.754,4.496,5.237,
2026-06-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0.55,3.486,1.746,2.181,2.616,3.051,3.486,
2026-07-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,summer_pier,6.8,0.917,6.317,2.595,3.525,4.456,5.386,6.317,
2026-08-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,summer_pier,6.8,0.567,4.287,1.986,2.561,3.136,3.712,4.287,
2026-09-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,summer_pier,6.8,0.077,1.446,1.134,1.212,1.29,1.368,1.446,
2026-10-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0,1,1,1,1,1,1,
2026-11-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0,1,1,1,1,1,1,
2026-12-15,st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,5.52,0,1,1,1,1,1,1,
2026-01-15,st_joseph_mi/coho_salmon,st_joseph_mi,coho_salmon,open,published_access_subject_to_live_conditions,private_research_not_published,spring_nearshore,8.6,0.192,2.456,1.437,1.692,1.946,2.201,2.456,
