cityId,speciesId,peakScore,firstPeakDate,activeModeId,fisheryStrength,regulationStatus
st_joseph_mi,chinook_salmon,6.8,2028-07-20,summer_pier,6.8,open
st_joseph_mi,coho_salmon,8.6,2028-04-15,spring_nearshore,8.6,open
st_joseph_mi,steelhead,7.8,2028-07-20,summer_skamania_pier,7.8,open
st_joseph_mi,brown_trout,6.5,2028-04-10,winter_spring_nearshore,6.5,open
st_joseph_mi,lake_trout,4.1,2028-03-15,winter_spring_pier,4.1,open
st_joseph_mi,yellow_perch,6,2028-07-20,summer_pier_schooling,6,open
st_joseph_mi,lake_whitefish,4,2028-11-20,late_fall_pier,4,open
south_haven_mi,chinook_salmon,7,2028-09-10,fall_harbor_staging,7,open
south_haven_mi,coho_salmon,7.8,2028-04-15,spring_nearshore,7.8,open
south_haven_mi,steelhead,8.8,2028-07-15,summer_skamania_pier,8.8,open
south_haven_mi,brown_trout,6.5,2028-04-10,winter_spring_nearshore,6.5,open
south_haven_mi,lake_trout,3.8,2028-10-20,fall_nearshore,3.8,open
south_haven_mi,walleye,4.3,2028-05-15,spring_low_light,4.3,open
south_haven_mi,smallmouth_bass,5.2,2028-07-20,warm_season_harbor,5.2,open
south_haven_mi,freshwater_drum,6.5,2028-07-15,warm_season_harbor,6.5,open
south_haven_mi,yellow_perch,5.4,2028-07-20,summer_pier_schooling,5.4,open
south_haven_mi,lake_whitefish,4,2028-11-20,late_fall_pier,4,open
south_haven_mi,round_whitefish,3.7,2028-10-20,fall_channel,3.7,open
south_haven_mi,channel_catfish,5.2,2028-08-20,warm_season_channel,5.2,open
south_haven_mi,northern_pike,4.8,2028-05-01,spring_harbor,4.8,open
holland_mi,chinook_salmon,7.8,2028-09-10,fall_harbor_staging,7.8,open
holland_mi,coho_salmon,7,2028-04-15,spring_nearshore,7,open
holland_mi,steelhead,7.3,2028-07-20,summer_pier,7.3,open
holland_mi,brown_trout,7.2,2028-04-10,winter_spring_nearshore,7.2,open
holland_mi,lake_trout,3.8,2028-03-15,winter_spring_pier,3.8,open
holland_mi,walleye,4.5,2028-08-15,summer_low_light,4.5,open
holland_mi,smallmouth_bass,5.2,2028-07-20,warm_season_harbor,5.2,open
holland_mi,freshwater_drum,5.8,2028-07-15,warm_season_harbor,5.8,open
holland_mi,yellow_perch,7.6,2028-07-20,summer_pier_schooling,7.6,open
holland_mi,lake_whitefish,4,2028-11-20,late_fall_pier,4,open
lexington_mi,chinook_salmon,5.6,2028-10-05,fall_harbor_staging,5.6,open
lexington_mi,coho_salmon,6.8,2028-04-20,spring_harbor,6.8,open
lexington_mi,steelhead,8.8,2028-04-25,spring_harbor,8.8,open
lexington_mi,brown_trout,5,2028-04-20,spring_harbor,5,open
lexington_mi,lake_trout,4.8,2028-04-20,spring_coldwater_harbor,4.8,open
lexington_mi,walleye,5.8,2028-08-15,summer_low_light,5.8,open
lexington_mi,smallmouth_bass,6,2028-07-20,warm_season_harbor,6,open
lexington_mi,freshwater_drum,4.8,2028-07-15,warm_season_harbor,4.8,open
lexington_mi,yellow_perch,8.5,2028-11-10,fall_harbor_schooling,8.5,open
lexington_mi,channel_catfish,4.3,2028-08-20,warm_season_channel,4.3,open
lexington_mi,largemouth_bass,5.6,2028-08-15,warm_season_harbor,5.6,open
lexington_mi,atlantic_salmon,8,2028-10-20,fall_harbor_return,8,open
lexington_mi,northern_pike,6,2028-05-01,spring_harbor,6,open
lexington_mi,white_bass,5.5,2028-06-20,warm_season_schooling,5.5,open
harrisville_mi,chinook_salmon,6.6,2028-10-05,fall_harbor_staging,6.6,open
harrisville_mi,coho_salmon,6.2,2028-10-10,fall_docks,6.2,open
harrisville_mi,steelhead,5.7,2028-04-25,spring_harbor,5.7,open
harrisville_mi,brown_trout,5,2028-11-25,late_fall_winter_harbor,5,open
harrisville_mi,atlantic_salmon,5.8,2028-02-15,winter_harbor,5.8,open
